name,brand,month,qty,price_unit,total_sales
CORREGIDORA 3 (QRO),SAM,November,42,4021.5132840519045,168903.55793018
ALAMEDA (QRO),MOTO,January,50,3368.1056827592,168405.28413796
LEON CENTRO (LEON),SAM,February,56,3021.6542680878183,168259.08474483
ALAMEDA (QRO),HONOR,August,35,4799.632817738,167987.14862083
CORREGIDORA 4 (QRO),MOTO,December,50,3350.8628260008,167543.14130004
CORREGIDORA 4 (QRO),SAM,November,40,4179.743689117,167189.74756468
HIDALGO (CELAYA),SAM,February,40,4157.328126069,166293.12504276
PLAZA PATIO (QRO),XIAOMI,November,50,3346.726191091875,166244.57889655
PLAZA PATIO (QRO),SAM,August,38,4368.128693222631,165988.89034245998
LA VICTORIA (QRO),SAM,January,34,4878.6092083579415,165872.71308417
CORREGIDORA 3 (QRO),SAM,January,55,3022.2863537677777,165719.84310346
PARQUE (QRO),SAM,November,37,4443.8841751837845,164423.7144818
CORREGIDORA 3 (QRO),SAM,December,47,3484.465421862766,163769.87482755
PARQUE (QRO),SAM,September,44,3708.2563539840908,163163.2795753
LA VICTORIA (QRO),SAM,May,35,4661.693849555429,163159.28473444
PLAZA PATIO (QRO),HONOR,December,45,3615.417821316363,162870.62551723
CORREGIDORA 4 (QRO),MOTO,February,58,2820.072321234386,162467.40231036
PLAZA PATIO (QRO),SAM,September,40,4058.4671378995,162338.68551598
CORREGIDORA 4 (QRO),XIAOMI,September,34,4692.318564908824,159538.8312069
MADERO (LEON),MOTO,December,46,3460.5271417631106,158998.72137934
CORREGIDORA 3 (QRO),SAM,October,42,3771.718731188333,158412.18670991
CORREGIDORA 2 (QRO),HONOR,October,38,4162.025365337368,158156.96388282
OBREGON (LEON),MOTO,January,49,3220.7961086565306,157819.00932417
HIDALGO 2 (CELAYA),SAM,January,41,3841.0232632463412,157481.9537931
CORREGIDORA 4 (QRO),XIAOMI,December,56,2829.8601551725455,157279.37853449
ALAMEDA (QRO),MOTO,July,31,5072.387696329677,157244.01858622
PLAZA PATIO (QRO),HONOR,November,42,3737.377545155,156969.85689651
FIESTA (IRAPUATO),SAM,November,48,3258.5066379106247,156408.31861971
ALLENDE (QRO),XIAOMI,September,39,3997.8574184784616,155916.43932066
HIDALGO (CELAYA),MOTO,July,31,5027.503618973548,155852.61218818
PARQUE (QRO),SAM,December,35,4415.5175320194285,154543.11362068
PLAZA PATIO (QRO),SAM,October,30,5072.722149383333,152181.6644815
ALAMEDA (QRO),SAM,September,38,3973.79981730921,151004.39305774999
CORREGIDORA 3 (QRO),MOTO,April,36,4161.015747030556,149796.5668931
FIESTA (IRAPUATO),SAM,June,38,3939.901324862105,149716.25034476
CORREGIDORA 3 (QRO),HONOR,December,38,3914.746785934474,148760.37786551
CORREGIDORA 3 (QRO),MOTO,June,31,4768.711600667742,147830.0596207
LA VICTORIA (QRO),SAM,July,31,4757.203379710967,147473.30477103998
ALLENDE (QRO),HONOR,February,41,3588.3750544885365,147123.37723403
GUERRERO (QRO),SAM,May,34,4324.695202839412,147039.63689654
CORREGIDORA 3 (QRO),MOTO,May,32,4586.69242528,146774.15760896
CORREGIDORA 4 (QRO),XIAOMI,October,43,3399.2981395339534,146169.81999996
CORREGIDORA 3 (QRO),MOTO,January,48,3027.1556314658333,145303.47031036
OBREGON (LEON),MOTO,December,41,3530.1533562658537,144736.2876069
HIDALGO (CELAYA),MOTO,October,33,4385.5365974921215,144722.70771724
PLAZA PATIO (QRO),XIAOMI,August,33,4364.0990491112125,144015.26862067002
LA VICTORIA (QRO),SAM,September,29,4943.996894615518,143375.90994385
CORREGIDORA 4 (QRO),MOTO,May,29,4915.903948038275,142561.21449311
CORREGIDORA 4 (QRO),MOTO,June,26,5471.287258621923,142253.46872417
PLAZA PATIO (QRO),MOTO,June,28,5049.015389162143,141372.43089654
OBREGON (LEON),SAM,July,29,4866.0818469537935,141116.37356166
PLAZA PATIO (QRO),MOTO,February,50,2864.0088002875,140918.9824138
PLAZA PATIO (QRO),XIAOMI,September,35,3940.026364531714,137900.92275861
GUERRERO (QRO),SAM,October,37,3696.7188350302704,136778.59689612
MADERO (LEON),MOTO,January,39,3496.046286472564,136345.80517243
VIA ALTA SUR (LEON),SAM,October,29,4678.09414972,135664.73034188
PLAZA PATIO (QRO),XIAOMI,October,34,3970.0531541582354,134981.80724138
ALAMEDA (QRO),MOTO,August,29,4653.718167657931,134957.82686208
OBREGON (LEON),SAM,October,37,3645.8314991386487,134895.76546813
FIESTA (IRAPUATO),SAM,October,42,3202.445656775,134502.71758455
ALAMEDA (QRO),SAM,October,33,4048.5126540739393,133600.91758444
PLAZA PATIO (QRO),SAM,June,28,4749.753700738214,132993.10362067
LEON CENTRO (LEON),MOTO,June,27,4898.244720306296,132252.60744827
CORREGIDORA 2 (QRO),XIAOMI,October,34,3883.519266936471,132039.65507584
FIESTA (IRAPUATO),SAM,September,38,3473.855108870789,132006.49413709
MADERO (LEON),MOTO,November,32,4120.907015085312,131869.02448273
CORREGIDORA 3 (QRO),HONOR,November,35,3762.6862857142864,131694.02000000002
ALLENDE (QRO),XIAOMI,August,34,3853.0942551717644,131005.20467584
PARQUE (QRO),SAM,October,31,4212.239205108064,130579.41535835
CORREGIDORA 4 (QRO),XIAOMI,November,41,3182.32835344875,129016.41000002
MADERO (QRO),SAM,May,25,5109.4832524128005,127737.08131032
PLAZA PATIO (QRO),MOTO,April,30,4257.759376092,127732.78128276
ALLENDE (CELAYA),SAM,January,37,3407.340545246757,126071.60017413
HIDALGO (CELAYA),MOTO,August,25,5039.8285299312,125995.71324828
FIESTA (IRAPUATO),SAM,February,33,3782.315966562121,124816.42689655
LA VICTORIA (QRO),XIAOMI,December,34,3652.7898275861767,124194.85413793
ALAMEDA (QRO),MOTO,February,38,3277.3331780059457,122984.60758622
MADERO (LEON),MOTO,May,25,4878.4490612416,121961.22653104
CORREGIDORA 3 (QRO),XIAOMI,December,50,2455.155524278776,121939.69068966
ALLENDE (CELAYA),MOTO,December,33,3692.9742265415152,121868.14947587
LA VICTORIA (QRO),SAM,December,26,4671.024151193077,121446.62793102
OBREGON (LEON),MOTO,October,29,4176.130456361724,121107.78323449
GUERRERO (QRO),SAM,April,25,4816.3770176552,120409.42544138
FIESTA (IRAPUATO),MOTO,December,32,3756.1650000003124,120197.28000001
CORREGIDORA 2 (QRO),XIAOMI,January,53,2267.5634077080394,120126.77379311
FIESTA (IRAPUATO),MOTO,January,46,2595.089505247391,119374.11724138
CORREGIDORA 3 (QRO),MOTO,July,28,4256.160041872143,119172.48117242
HIDALGO 2 (CELAYA),SAM,October,25,4740.5178620684,118512.94655171
CORREGIDORA 4 (QRO),XIAOMI,January,52,2287.8643739013723,118318.15306897
CORREGIDORA 2 (QRO),XIAOMI,July,30,3994.411961949655,118164.67103447
OBREGON (LEON),SAM,January,39,3023.93894974359,117933.61904
HIDALGO 2 (CELAYA),SAM,July,27,4331.83931391963,116959.66147583
PLAZA PATIO (QRO),XIAOMI,May,25,4671.551667586,116788.79168965
VIA ALTA SUR (LEON),SAM,September,24,4808.76725569375,115410.41413665
ALLENDE (CELAYA),MOTO,October,27,4227.427409451111,114140.54005518
LA VICTORIA (QRO),HONOR,December,29,3926.0097384065516,113854.28241379
LA VICTORIA (QRO),MOTO,December,31,3706.034422414,113852.58267242
PLAZA PATIO (QRO),HONOR,February,33,3444.742356321818,113676.49775862
CORREGIDORA 4 (QRO),HONOR,November,30,3783.621910574667,113508.65731724001
LA VICTORIA (QRO),SAM,November,25,4971.553724130999,113219.87448262
PARQUE (CELAYA),MOTO,August,23,4916.681334333914,113083.67068968
PLAZA PATIO (QRO),XIAOMI,June,26,4347.461511936154,113033.99931034
LA VICTORIA (QRO),MOTO,January,34,3322.207903752647,112955.06872759
FIESTA (IRAPUATO),XIAOMI,December,40,2821.61637068975,112864.65482759
FIESTA (IRAPUATO),XIAOMI,January,41,2734.630260723171,112119.84068965001
OBREGON (LEON),MOTO,September,25,4482.552612414001,112063.81531035001
CORREGIDORA 4 (QRO),MOTO,October,25,4450.173950344801,111254.34875862
LA VICTORIA (QRO),XIAOMI,November,28,3959.0700985221433,110853.96275862001
CORREGIDORA 3 (QRO),MOTO,December,33,3336.38969697,110100.86000001
CORREGIDORA 4 (QRO),MOTO,September,24,4537.096639367916,108890.31934483
ALLENDE (QRO),ZTE,December,87,1443.8048837209303,108511.17
CORREGIDORA 4 (QRO),SAM,February,27,4007.758876117407,108209.48965517
PLAZA PATIO (QRO),MOTO,July,22,4916.244763323182,108157.38479311
LA VICTORIA (QRO),XIAOMI,October,24,4479.034295976667,107496.82310344
GUERRERO (QRO),MOTO,July,24,4468.248701005833,107237.96882414
HIDALGO 2 (CELAYA),SAM,April,21,5081.239228571429,106706.0238
MADERO (LEON),SAM,May,24,4424.388242815833,106185.31782758
PLAZA PATIO (QRO),SAM,February,28,3789.162857142857,106096.56
PLAZA PATIO (QRO),MOTO,August,25,4231.5530013792,105788.82503448
CORREGIDORA 3 (QRO),XIAOMI,September,27,3910.3776117488887,105580.19551722
ALAMEDA (QRO),SAM,November,31,3393.327272622258,105193.14545129
CORREGIDORA 2 (QRO),XIAOMI,May,22,4740.516755486364,104291.3686207
CORREGIDORA 3 (QRO),XIAOMI,January,53,1973.2763793104,104264.67896552
OBREGON (LEON),HONOR,January,28,3722.0641052957144,104217.79494828
HIDALGO 2 (CELAYA),SAM,June,22,4728.761885735908,104032.76148619
OBREGON (LEON),SAM,May,22,4721.708429623636,103877.58545171999
ALLENDE (CELAYA),SAM,July,19,5452.8599082752635,103604.33825723
MADERO (LEON),MOTO,October,23,4486.358049475217,103186.23513793
ANDADOR (CELAYA),SAM,January,29,3546.731697384138,102855.21922414
ALLENDE (QRO),HONOR,October,27,3808.3985312900004,102826.76034483
CORREGIDORA 3 (QRO),SAM,February,30,3430.470951010345,102758.6575793
GUERRERO (QRO),MOTO,August,25,4103.967644138,102599.19110345
LEON CENTRO (LEON),XIAOMI,January,41,2564.927368421053,102378.45
CORREGIDORA 4 (QRO),MOTO,April,22,4650.3925498436365,102308.63609656
OBREGON (LEON),SAM,August,23,4445.201521739131,102239.63500000001
CORREGIDORA 4 (QRO),XIAOMI,August,26,3931.5001591503847,102219.00413791
BOULEVARES (QRO),XIAOMI,September,23,4393.828230884348,101058.04931034001
ALAMEDA (QRO),SAM,February,28,3604.743165025,100932.8086207
GUERRERO (QRO),XIAOMI,December,37,2725.140326188108,100830.19206896
CORREGIDORA 3 (QRO),HONOR,January,26,3858.5551830238464,100322.43475862
PLAZA PATIO (QRO),SAM,November,24,4167.3151580275,100015.56379266
ALAMEDA (QRO),MOTO,April,22,4509.327051410909,99205.19513104
GUERRERO (QRO),MOTO,October,23,4301.987742428696,98945.71807586
LEON CENTRO (LEON),XIAOMI,December,38,2623.789226468108,98717.27137932
OBREGON (LEON),SAM,November,26,3784.120187516923,98387.12487544
OBREGON (LEON),MOTO,November,26,3749.4047448265383,97484.52336549
VIA ALTA SUR (LEON),MOTO,October,19,5127.08934664421,97414.69758624
PARQUE (CELAYA),MOTO,September,21,4621.471756979047,97050.90689656
ANDADOR (CELAYA),SAM,October,26,3729.246013394615,96960.39634826
CORREGIDORA 3 (QRO),XIAOMI,August,26,3729.245066312308,96960.37172412
GUERRERO (QRO),HONOR,December,28,3453.572460590357,96700.02889653
PARQUE (CELAYA),SAM,November,22,4383.936833753636,96446.61034258
LA VICTORIA (QRO),SAM,April,19,5071.73286842,96362.92449998
CORREGIDORA 2 (QRO),XIAOMI,June,22,4336.990971759546,95413.80137871
MADERO (LEON),MOTO,February,30,3227.4408799051726,95319.06551725
HIDALGO 2 (CELAYA),SAM,May,22,4329.075049372727,95239.6510862
PARQUE (CELAYA),SAM,August,21,4527.055024609047,95068.15551679
ANDADOR (CELAYA),SAM,November,27,3514.465611748889,94890.57151722
MAYOREO (QRO),APPLE,December,10,9481.9,94819.0
OBREGON (LEON),HONOR,December,24,3936.4938567525,94475.85256206
CORREGIDORA 4 (QRO),MOTO,November,25,3766.3799102055996,94159.49775514
LA VICTORIA (QRO),HONOR,January,24,3912.6696221266666,93904.07093104
GUERRERO (QRO),MOTO,May,23,4080.8479910043475,93859.5037931
VIA ALTA SUR (LEON),MOTO,September,18,5190.711570882778,93432.80827589
ALLENDE (CELAYA),SAM,June,20,4654.310743233,93086.21486466
LEON CENTRO (LEON),XIAOMI,October,24,3871.1933189650003,92908.63965516
LA VICTORIA (QRO),SAM,August,20,4643.7128054965,92874.25610993
PARQUE (QRO),MOTO,December,27,3431.5454022996296,92651.72586209
CORREGIDORA 4 (QRO),HONOR,February,26,3563.4643474803847,92650.07303449001
ANDADOR (CELAYA),SAM,August,20,4602.587198757499,92051.74397514999
PARQUE (CELAYA),MOTO,July,19,4840.138145191579,91962.62475864
CORREGIDORA 3 (QRO),MOTO,September,25,3667.070556138,91676.76390345
ALLENDE (QRO),XIAOMI,February,36,2537.4776532566666,91349.19551723999
PARQUE (QRO),MOTO,January,27,3377.331021711852,91187.93758622
MADERO (QRO),SAM,April,19,4767.740490018422,90587.06931035001
BOULEVARES (QRO),SAM,April,20,4520.6883103445,90413.76620689
PARQUE (QRO),XIAOMI,May,22,4105.721038871364,90325.86285517
ANDADOR (CELAYA),SAM,May,19,4735.9807,89983.6333
CORREGIDORA 2 (QRO),XIAOMI,November,24,3749.1385632183333,89979.32551724
FIESTA (IRAPUATO),SAM,April,24,3734.7696982758334,89634.47275862
CORREGIDORA 3 (QRO),XIAOMI,October,26,3447.4142572938463,89632.77068964
MADERO (QRO),SAM,July,18,4975.241379248889,89554.34482648
ANDADOR (CELAYA),SAM,April,18,4970.402976777778,89467.253582
OBREGON (LEON),SAM,September,23,3886.4329896552176,89387.95876207
MADERO (LEON),MOTO,April,21,4252.012627257619,89292.26517241
MADERO (LEON),HONOR,January,23,3878.412143928261,89203.47931035
LA VICTORIA (QRO),XIAOMI,January,27,3286.4459549073076,89153.62482759
CORREGIDORA 4 (QRO),MOTO,August,20,4453.3917877594995,89067.83575519
CORREGIDORA 3 (QRO),MOTO,October,22,4039.8914681818187,88877.61230000001
PLAZA PATIO (QRO),XIAOMI,April,18,4936.876034482778,88863.76862069
PARQUE (CELAYA),SAM,January,27,3331.5031587523076,88773.39212756
CORREGIDORA 4 (QRO),HONOR,January,24,3677.2986321841668,88255.16717242
OBREGON (LEON),MOTO,July,20,4403.964892414,88079.29784828
CORREGIDORA 2 (QRO),HONOR,February,23,3825.977826086956,87997.48999999999
PARQUE (CELAYA),MOTO,June,17,5155.323935091765,87640.50689656
HIDALGO 2 (CELAYA),SAM,September,19,4608.938405263158,87569.8297
CORREGIDORA 2 (QRO),MOTO,November,21,4147.332134646191,87093.97482757
ANDADOR (CELAYA),SAM,July,16,5430.172993506875,86882.76789611
BOULEVARES (QRO),XIAOMI,December,23,3768.2251874065214,86669.17931035
CORREGIDORA 3 (QRO),HONOR,October,24,3609.053629022917,86617.28709655
HIDALGO (CELAYA),XIAOMI,December,27,3207.9513742014815,86614.68710344
MADERO (LEON),SAM,June,18,4793.200015324444,86277.60027584
ALLENDE (CELAYA),MOTO,September,20,4292.245863448,85844.91726896
CORREGIDORA 3 (QRO),MOTO,February,33,2585.348129571818,85316.48827587
