id,date,Product_ID,Description,qty,create_uid,price_unit,price_subtotal
57917,2023-02-22 02:12:02,30597,SAM A04 3/32 NEGRO KIT,1.0,SUC. LEON CENTRO (LEON),2757.76,2757.76
57914,2023-02-22 02:05:33,25535,MOTO E40 4/64 GRIS,1.0,SUC. LEON CENTRO (LEON),2843.97,2843.97
57911,2023-02-22 01:55:44,31225,MOTO E22I 2/64 BLANCO KIT,1.0,SUC. PARQUE (CELAYA),2930.17482759,2930.17
57907,2023-02-22 01:31:33,31500,SAM A04E 3/64 NEGRO,1.0,SUC. OBREGON (LEON),2586.20689655,2586.21
57905,2023-02-22 01:29:41,30980,MOTO G22 4/128 AZUL,1.0,SUC. ALLENDE (QRO),3878.45,3878.45
57902,2023-02-22 01:22:32,25565,MOTO G60S 6/128 AZUL,1.0,SUC. OBREGON (LEON),4481.9,4481.9
57898,2023-02-22 01:21:54,31498,SAM A04E 3/64 AZUL,1.0,SUC. MADERO (LEON),2585.34724138,2585.35
57895,2023-02-22 01:17:54,25533,MOTO E20 2/32 AZUL,1.0,SUC. MADERO (LEON),2068.11,2068.11
57892,2023-02-22 00:54:16,25533,MOTO E20 2/32 AZUL,1.0,SUC. MADERO (QRO),2068.11,2068.11
57889,2023-02-22 00:48:55,31487,SAM A23 4/64 AZUL,1.0,SUC. HIDALGO (CELAYA),4654.3103,4654.31
57886,2023-02-22 00:43:53,25737,SAM A03 4/64 NEGRO,1.0,SUC. FIESTA (IRAPUATO),2757.76,2757.76
57883,2023-02-22 00:40:32,25535,MOTO E40 4/64 GRIS,1.0,SUC. HIDALGO (CELAYA),2843.97,2843.97
57880,2023-02-22 00:37:00,40100,MOTO E22I 2/64 BLANCO,1.0,SUC. HIDALGO (CELAYA),2930.17482759,2930.17
57877,2023-02-22 00:28:43,29504,HONOR X7 4/128 NEGRO,1.0,SUC. ALAMEDA (QRO),3878.45,3878.45
57874,2023-02-22 00:28:18,26585,MOTO G22 4/128 NEGRO,1.0,SUC. HIDALGO (CELAYA),3964.6551,3964.66
57870,2023-02-22 00:08:38,31225,MOTO E22I 2/64 BLANCO KIT,1.0,SUC. CORREGIDORA 2 (QRO),2930.17482759,2930.17
57867,2023-02-21 23:23:14,30563,HONOR X6S 4/128 AZUL,1.0,SUC. CORREGIDORA 4 (QRO),3188.8,3188.8
57863,2023-02-21 23:09:48,31498,SAM A04E 3/64 AZUL,1.0,SUC. LA CRUZ (QRO),2585.34724138,2585.35
57860,2023-02-21 23:05:02,25533,MOTO E20 2/32 AZUL,1.0,SUC. HIDALGO 2 (CELAYA),3102.5862,3102.59
57852,2023-02-21 22:53:51,29506,HONOR X7 4/128 AZUL,1.0,SUC. ALLENDE (QRO),3878.45,3878.45
57850,2023-02-21 22:53:11,25737,SAM A03 4/64 NEGRO,0.0,SUC. ALLENDE (QRO),2757.76,0.0
57844,2023-02-21 22:00:15,29339,SAM A13 4/64 AZUL,1.0,SUC. CORREGIDORA 2 (QRO),3619.83,3619.83
57842,2023-02-21 21:48:40,26579,MOTO G41 4/128 DORADO,1.0,SUC. MAYOREO (QRO),3706.03448275,3706.03
57840,2023-02-21 21:42:01,25742,SAM A03S 4/64 NEGRO,1.0,SUC. MAYOREO (QRO),3447.4137931,3447.41
57837,2023-02-21 19:28:42,29594,SAM A03-CORE 2/32 MENTA,1.0,SUC. ALAMEDA (QRO),2585.34482759,2585.34
57834,2023-02-21 19:25:14,29579,SAM A03-CORE 2/32 ONYX,1.0,SUC. ALAMEDA (QRO),2585.34482759,2585.34
57822,2023-02-21 17:56:59,30563,HONOR X6S 4/128 AZUL,1.0,SUC. CORREGIDORA 4 (QRO),3188.8,3188.8
57819,2023-02-21 17:49:16,30563,HONOR X6S 4/128 AZUL,1.0,SUC. CORREGIDORA 4 (QRO),3188.8,3188.8
57814,2023-02-21 16:51:22,30980,MOTO G22 4/128 AZUL,1.0,SUC. PLAZA PATIO (QRO),3878.45,3878.45
57812,2023-02-21 02:17:32,31423,MOTO E22 3/32 NEGRO KIT,1.0,SUC. HIDALGO 2 (CELAYA),3275.0,3275.0
57809,2023-02-21 02:10:32,26729,HONOR X8 6/128 AZUL,1.0,SUC. BOULEVARES (QRO),4481.9,4481.9
57806,2023-02-21 02:09:40,31225,MOTO E22I 2/64 BLANCO KIT,1.0,SUC. PARQUE (CELAYA),2930.17482759,2930.17
57803,2023-02-21 02:03:58,30564,HONOR X6S 4/128 PLATA,1.0,SUC. BOULEVARES (QRO),3188.8,3188.8
57801,2023-02-21 01:49:21,30907,SAM A04 4/64 BLANCO,1.0,SUC. OBREGON (LEON),2757.76,2757.76
57796,2023-02-21 01:44:17,39900,HONOR X7A 6/128 AZUL,1.0,SUC. CONSTITUYENTES (QRO),4050.86448276,4050.86
57792,2023-02-21 01:43:51,30325,XIAOMI POCO-M5S 6/128 GRIS,1.0,SUC. LEON CENTRO (LEON),4137.07137931,4137.07
57788,2023-02-21 01:42:22,31122,MOTO G52 6/256 AZUL,1.0,SUC. LEON CENTRO (LEON),5861.21,5861.21
57785,2023-02-21 01:40:35,31225,MOTO E22I 2/64 BLANCO KIT,1.0,SUC. LEON CENTRO (LEON),2930.17482759,2930.17
