id,date,Product_ID,Description,qty,create_uid,price_unit,price_subtotal
83356,2022-09-27 18:18:52,30090,XIAOMI POCO-C40 4/64 NEGRO,1.0,SUC. FIESTA (IRAPUATO),2671.55172414,2671.55
83357,2022-09-27 18:19:59,30091,XIAOMI POCO-X4-PRO 6/128 AMARILLO,1.0,SUC. LA VICTORIA (QRO),5775.0,5775.0
83358,2022-09-27 18:21:41,30091,XIAOMI POCO-X4-PRO 6/128 AMARILLO,-1.0,SUC. LA VICTORIA (QRO),5775.0,-5775.0
83359,2022-09-27 18:22:23,30091,XIAOMI POCO-X4-PRO 6/128 AMARILLO,1.0,SUC. LA VICTORIA (QRO),5775.0,5775.0
83372,2022-09-27 19:04:41,29513,MOTO E32 4/64 PLATA,1.0,SUC. CORREGIDORA 2 (QRO),3619.83,3619.83
83373,2022-09-27 19:13:48,26572,XIAOMI POCO-X4-PRO 6/128 NEGRO,1.0,SUC. BOULEVARES (QRO),5775.0,5775.0
83374,2022-09-27 19:13:48,25703,POWER BANK MOREKA 22000 mAh K045,1.0,SUC. BOULEVARES (QRO),430.17,430.17
83377,2022-09-27 19:16:37,26671,HONOR X8 6/128 PLATA,1.0,SUC. PLAZA PATIO (QRO),4568.10344828,4568.1
83402,2022-09-27 20:04:00,26433,SAM A23 4/128 AZUL,1.0,SUC. CORREGIDORA 4 (QRO),4999.13793103,4999.14
83405,2022-09-27 20:16:43,25565,MOTO G60S 6/128 AZUL,1.0,SUC. LA CRUZ (QRO),5171.55,5171.55
83406,2022-09-27 20:17:33,24857,I-MOBIL GSM-IM220 X/X NEGRO/AZUL KIT,1.0,SUC. ALLENDE (QRO),309.48,309.48
83423,2022-09-27 21:09:44,25605,NOKIA 106 4MB/4MB NEGRO,1.0,SUC. LA CRUZ (QRO),387.07,387.07
83428,2022-09-27 21:20:29,19870,DOPPIO F1811 X/X NEGRO KIT,1.0,SUC. LEON CENTRO (LEON),318.10344828,318.1
83450,2022-09-27 21:48:54,27156,XIAOMI REDMI-10C 4/64 GRIS,1.0,SUC. GUERRERO (QRO),2843.97,2843.9700000000003
83451,2022-09-27 21:48:54,29418,MOTO G22 4/128 AZUL KIT,1.0,SUC. GUERRERO (QRO),3878.45,3878.45
83457,2022-09-27 21:51:49,29411,20.0% de descuento en productos,1.0,SUC. ALAMEDA (QRO),-34.31,-34.31
83458,2022-09-27 21:53:12,26050,ZTE L210 1/32 NEGRO,1.0,SUC. CORREGIDORA 4 (QRO),1378.45,1378.45
83463,2022-09-27 22:17:39,29411,20.0% de descuento en productos,1.0,SUC. CONSTITUYENTES (QRO),-25.69,-25.69
83464,2022-09-27 22:35:53,26054,ZTE L9 1/32 GRIS,1.0,SUC. ALLENDE (QRO),1162.93,1162.93
83482,2022-09-27 22:47:38,25648,GAR108 PLUGIN AUTO 1HORA 2PUERTOS GAR108 NEGRO,1.0,SUC. CORREGIDORA 4 (QRO),59.48275862,59.48
83483,2022-09-27 22:47:45,26050,ZTE L210 1/32 NEGRO,1.0,SUC. LEON CENTRO (LEON),1378.45,1378.45
83487,2022-09-27 22:49:33,30090,XIAOMI POCO-C40 4/64 NEGRO,1.0,SUC. LA VICTORIA (QRO),2671.55172414,2671.55
83490,2022-09-27 22:59:35,29411,20.0% de descuento en productos,1.0,SUC. ALLENDE (CELAYA),-34.31,-34.31
83492,2022-09-27 23:04:48,25805,SENWA 3G-S319-STREET X/X NEGRO/NARANJA KIT,1.0,SUC. ALLENDE (QRO),430.17241379,430.17
83495,2022-09-27 23:17:40,24792,HISENSE E20 2/16 AZUL,1.0,SUC. CORREGIDORA 4 (QRO),1809.48275862,1809.48
83496,2022-09-27 23:21:37,27130,MOTO G60 4/128 NEGRO,1.0,SUC. ALLENDE (QRO),4740.52,4740.52
83503,2022-09-27 23:27:23,29578,SAM A03-CORE 2/32 BRONCE,1.0,SUC. PARQUE (QRO),2240.52,2240.52
83517,2022-09-27 23:43:44,26050,ZTE L210 1/32 NEGRO,1.0,SUC. LA VICTORIA (QRO),1378.45,1378.45
83519,2022-09-27 23:47:42,19501,BOC060 BOCINA CILINDRO 1HORA BOC060 NEGRO,1.0,SUC. HIDALGO (CELAYA),300.86206897,300.86
83520,2022-09-27 23:47:42,29411,20.0% de descuento en productos,1.0,SUC. HIDALGO (CELAYA),-60.172,-60.17
83522,2022-09-27 23:49:09,26432,SAM A13 4/128 AZUL,1.0,SUC. CORREGIDORA 2 (QRO),4137.07,4137.07
83523,2022-09-27 23:50:11,26043,ZTE A31 1/32 GRIS,1.0,SUC. CONSTITUYENTES (QRO),1593.97,1593.97
83528,2022-09-27 23:52:24,29411,20.0% de descuento en productos,1.0,SUC. HIDALGO (CELAYA),-42.932,-42.93
83538,2022-09-27 23:54:24,26735,Descuento,0.0,SUC. ANTEA (QRO),1.0,0.0
83539,2022-09-27 23:54:24,26735,Descuento,11871.0,SUC. ANTEA (QRO),-0.01,-118.71
83541,2022-09-27 23:54:39,27129,MOTO G60 4/128 PLATA,1.0,SUC. LEON CENTRO (LEON),4740.52,4740.52
83558,2022-09-28 00:00:42,29411,20.0% de descuento en productos,1.0,SUC. PLAZA PATIO (QRO),-34.31,-34.31
83560,2022-09-28 00:01:31,29411,20.0% de descuento en productos,1.0,SUC. MADERO (QRO),-42.932,-42.93
83581,2022-09-28 00:25:31,29544,WIRED BUDS NOKIA 101 ROJO,1.0,SUC. LEON CENTRO (LEON),128.4482759,128.45
83585,2022-09-28 00:26:59,25608,NOKIA C01-PLUS 1/32 AZUL,1.0,SUC. MADERO (QRO),1464.66,1464.66
83586,2022-09-28 00:27:03,24944,MERCURY RING GOOSPERY NEGRO/PLATA,1.0,SUC. PLAZA MAYOR (LEON),145.68965517,145.69
83616,2022-09-28 00:44:18,27179,HUAWEI Y5P 2/32 NEGRO,1.0,SUC. ANDADOR (CELAYA),2154.31034483,2154.31
83620,2022-09-28 00:44:18,19861,DIFUSOR ESFERA CON LUZ CAFÉ CLARO,1.0,SUC. ANDADOR (CELAYA),214.65517241,214.66
83621,2022-09-28 00:45:56,30198,"BOCINA KIGO BT-KGAF 3"" NGO",1.0,SUC. ANDADOR (CELAYA),257.75862069,257.76
83623,2022-09-28 00:47:49,25839,SMARTWATCH STF KRONOS-URBAN NEGRO,1.0,SUC. CORREGIDORA 3 (QRO),947.41,947.41
83625,2022-09-28 00:50:23,26076,ROUTER TELCEL ZTE LTE-ROUTER-CPE-MF283U,1.0,SUC. MADERO (LEON),1447.4137931,1447.41
83629,2022-09-28 00:51:20,29411,20.0% de descuento en productos,1.0,SUC. LA VICTORIA (QRO),-68.794,-68.79
83657,2022-09-28 15:13:58,25837,SMARTWATCH STF KRONOS-SPORT NEGRO,1.0,SUC. CORREGIDORA 3 (QRO),1033.62,1033.62
83663,2022-09-28 15:40:41,19110,ADAPTADOR LIGHTNING A 3.5,1.0,SUC. BOULEVARES (QRO),111.20689655,111.21
83667,2022-09-28 15:47:47,26431,SAM A13 4/128 BLANCO,1.0,SUC. PLAZA MAYOR (LEON),4137.07,4137.07
83670,2022-09-28 15:53:28,26735,Descuento,1788.0,SUC. HIDALGO 2 (CELAYA),-0.01,-17.88
83675,2022-09-28 15:55:34,29411,20.0% de descuento en productos,1.0,SUC. URBAN (QRO),-51.552,-51.55
83679,2022-09-28 16:08:03,26000,XIAOMI REDMI-9A 2/32 GRIS,1.0,SUC. BOULEVARES (QRO),2240.52,2240.52
83680,2022-09-28 16:08:03,19511,BOCINA INAL-BT STELAU BOC061 NGO,1.0,SUC. BOULEVARES (QRO),300.86206897,300.86
83681,2022-09-28 16:08:38,29513,MOTO E32 4/64 PLATA,1.0,SUC. ALLENDE (CELAYA),3619.83,3619.83
83682,2022-09-28 16:09:20,19480,BLU Z5 X/X GRIS,1.0,SUC. ALLENDE (CELAYA),257.75862069,257.76
83684,2022-09-28 16:11:21,29594,SAM A03-CORE 2/32 MENTA,1.0,SUC. HIDALGO (CELAYA),2240.52,2240.52
83686,2022-09-28 16:11:57,19139,ALCATEL GSM-1066G NEGRO KIT,1.0,SUC. ALLENDE (QRO),309.48275862,309.48
83690,2022-09-28 16:17:34,26000,XIAOMI REDMI-9A 2/32 GRIS,-1.0,SUC. BOULEVARES (QRO),2240.52,-2240.52
83691,2022-09-28 16:17:34,19511,BOCINA INAL-BT STELAU BOC061 NGO,-1.0,SUC. BOULEVARES (QRO),300.86206897,-300.86
83693,2022-09-28 16:23:19,25999,XIAOMI REDMI-9A 2/32 AZUL,1.0,SUC. BOULEVARES (QRO),2240.52,2240.52
83694,2022-09-28 16:23:19,19511,BOCINA INAL-BT STELAU BOC061 NGO,1.0,SUC. BOULEVARES (QRO),300.86206897,300.86
83703,2022-09-28 17:06:12,29692,Y3 SMARTWATCH HOCO Y3 NEGRO,1.0,SUC. PLAZA MAYOR (LEON),602.5862069,602.59
83720,2022-09-28 17:46:07,29411,20.0% de descuento en productos,1.0,SUC. HIDALGO (CELAYA),-34.31,-34.31
83728,2022-09-28 18:02:54,25740,SAM A03-CORE 2/32 NGO,1.0,SUC. CORREGIDORA 4 (QRO),2240.52,2240.52
83734,2022-09-28 18:22:05,26054,ZTE L9 1/32 GRIS,1.0,SUC. PLAZA PATIO (QRO),1162.93,1162.93
83738,2022-09-28 18:39:41,29578,SAM A03-CORE 2/32 BRONCE,1.0,SUC. HIDALGO 2 (CELAYA),2240.52,2240.52
83749,2022-09-28 18:55:28,29579,SAM A03-CORE 2/32 ONYX,1.0,SUC. GUERRERO (QRO),2240.52,2240.52
83751,2022-09-28 18:58:48,29410,99.99% de descuento en productos,1.0,SUC. CONSTITUYENTES (QRO),-34.31,-34.31
83752,2022-09-28 19:05:17,25648,GAR108 PLUGIN AUTO 1HORA 2PUERTOS GAR108 NEGRO,1.0,SUC. ANTEA (QRO),59.48275862,59.48
83755,2022-09-28 19:06:37,29411,20.0% de descuento en productos,1.0,SUC. CONSTITUYENTES (QRO),-34.31,-34.31
83759,2022-09-28 19:23:35,19483,BLU Z5 X/X VERDE-LIMÓN,1.0,SUC. ALAMEDA (QRO),257.75862069,257.76
83760,2022-09-28 19:26:30,19480,BLU Z5 X/X GRIS,1.0,SUC. PLAZA PATIO (QRO),257.75862069,257.76
83761,2022-09-28 19:27:57,27130,MOTO G60 4/128 NEGRO,1.0,SUC. PLAZA PATIO (QRO),4740.52,4740.52
83763,2022-09-28 19:30:52,27130,MOTO G60 4/128 NEGRO,-1.0,SUC. PLAZA PATIO (QRO),4740.52,-4740.52
83767,2022-09-28 19:34:36,27130,MOTO G60 4/128 NEGRO,1.0,SUC. PLAZA PATIO (QRO),4740.52,4740.52
83773,2022-09-28 19:43:04,29411,20.0% de descuento en productos,1.0,SUC. MADERO (QRO),-51.552,-51.55
