product_id,description,date,name,qty,price_unit
26431,SAM A13 4/128 BLANCO,2022-05-08,LA CRUZ (QRO),1,4740.52
25550,MOTO G20 4/64 ROSA,2022-05-08,PARQUE (CELAYA),1,4137.07
26565,SAM A03S 4/64 AZUL KIT,2022-05-08,CORREGIDORA 4 (QRO),1,3706.03
25765,SAM A32 4/128 NEGRO,2022-05-08,HIDALGO 2 (CELAYA),1,6033.6206
26565,SAM A03S 4/64 AZUL KIT,2022-05-08,ALLENDE (QRO),1,3706.03448
25550,MOTO G20 4/64 ROSA,2022-05-08,GUERRERO (QRO),1,4137.07
26014,XIAOMI REDMI-NOTE-10S 6/128 AZUL,2022-05-08,MADERO (QRO),1,5861.21
26566,SAM A03S 4/64 NEGRO KIT,2022-05-08,ALLENDE (CELAYA),1,3706.03
25739,SAM A03-CORE 2/32 AZUL,2022-05-08,CORREGIDORA 4 (QRO),1,2843.97
25740,SAM A03-CORE 2/32 NGO,2022-05-08,ALLENDE (CELAYA),1,2843.97
25740,SAM A03-CORE 2/32 NGO,2022-05-08,FIESTA (IRAPUATO),1,2843.97
25743,SAM A03S 4/64 ROJO,2022-05-08,BOULEVARES (QRO),1,3706.03
25755,SAM A12 4/64 NEGRO,2022-05-08,CORREGIDORA 3 (QRO),1,4568.1
25550,MOTO G20 4/64 ROSA,2022-05-08,CORREGIDORA 3 (QRO),1,4223.2758
25755,SAM A12 4/64 NEGRO,2022-05-08,CORREGIDORA 4 (QRO),1,4568.1
26015,XIAOMI REDMI-NOTE-10S 6/128 GRIS,2022-05-08,LA VICTORIA (QRO),1,5861.21
26017,XIAOMI REDMI-NOTE-10S 6/128 NGO,2022-05-08,LA VICTORIA (QRO),1,5861.21
25610,NOKIA C20 2/32 AZUL,2022-05-08,GUERRERO (QRO),1,2412.93
24902,LANIX X750 1/32 NGO,2022-05-08,ALLENDE (QRO),1,2068.1
26432,SAM A13 4/128 AZUL,2022-05-08,CORREGIDORA 3 (QRO),1,4740.52
26431,SAM A13 4/128 BLANCO,2022-05-08,VIA ALTA SUR (LEON),1,4740.52
26431,SAM A13 4/128 BLANCO,2022-05-08,VIA ALTA SUR (LEON),1,4740.52
25550,MOTO G20 4/64 ROSA,2022-05-08,VIA ALTA SUR (LEON),1,4137.07
26432,SAM A13 4/128 AZUL,2022-05-08,LEON CENTRO (LEON),1,4740.52
25550,MOTO G20 4/64 ROSA,2022-05-08,LEON CENTRO (LEON),1,4137.07
25549,MOTO G20 4/64 AZUL,2022-05-08,LEON CENTRO (LEON),1,4137.07
26566,SAM A03S 4/64 NEGRO KIT,2022-05-08,LEON CENTRO (LEON),1,3706.03
26432,SAM A13 4/128 AZUL,2022-05-08,LEON CENTRO (LEON),1,4740.52
26437,SAM A23 4/128 NEGRO,2022-05-08,MADERO (QRO),1,5861.21
24902,LANIX X750 1/32 NGO,2022-05-08,LEON CENTRO (LEON),1,2068.1
25756,SAM A12 4/64 ROJO,2022-05-08,OBREGON (LEON),1,4568.9655
25550,MOTO G20 4/64 ROSA,2022-05-08,OBREGON (LEON),1,4137.931
25550,MOTO G20 4/64 ROSA,2022-05-08,LEON CENTRO (LEON),1,4137.07
25739,SAM A03-CORE 2/32 AZUL,2022-05-08,ANDADOR (CELAYA),1,2930.1724
24818,HUAWEI Y6P 3/64 VERDE KIT,2022-05-08,OBREGON (LEON),1,3362.0689
25550,MOTO G20 4/64 ROSA,2022-05-08,CORREGIDORA 4 (QRO),1,4137.07
26432,SAM A13 4/128 AZUL,2022-05-08,OBREGON (LEON),1,4741.3793
25740,SAM A03-CORE 2/32 NGO,2022-05-08,OBREGON (LEON),1,2844.8275
25772,SAM A72 6/128 AZUL,2022-05-08,BOULEVARES (QRO),1,9740.52
25550,MOTO G20 4/64 ROSA,2022-05-08,LEON CENTRO (LEON),1,4137.07
26566,SAM A03S 4/64 NEGRO KIT,2022-05-08,ALLENDE (QRO),1,3706.03
25550,MOTO G20 4/64 ROSA,2022-05-08,OBREGON (LEON),1,4137.931
25610,NOKIA C20 2/32 AZUL,2022-05-08,MADERO (LEON),1,2412.93
25611,NOKIA C30 2/64 GRIS,2022-05-07,ALAMEDA (QRO),1,2843.97
25589,MOTO G20 4/64 AZUL KIT,2022-05-07,HIDALGO (CELAYA),1,4137.07
24795,HISENSE E50 4/128 VERDE,2022-05-07,ALAMEDA (QRO),1,3533.62
25550,MOTO G20 4/64 ROSA,2022-05-07,ALLENDE (QRO),1,4137.07
25550,MOTO G20 4/64 ROSA,2022-05-07,MADERO (QRO),1,4137.07
26565,SAM A03S 4/64 AZUL KIT,2022-05-07,ALAMEDA (QRO),1,3706.03
25785,SAM A52 6/128 BLANCO KIT,2022-05-07,HIDALGO (CELAYA),1,7585.34
26566,SAM A03S 4/64 NEGRO KIT,2022-05-07,HIDALGO 2 (CELAYA),1,3792.2413
26434,SAM A23 4/128 BLANCO,2022-05-07,ALAMEDA (QRO),1,5861.21
26578,MOTO G41 4/128 NEGRO,2022-05-07,ALAMEDA (QRO),1,5602.59
25755,SAM A12 4/64 NEGRO,2022-05-07,CORREGIDORA 2 (QRO),1,4568.1
26280,SAM A53 8/128 NEGRO,2022-05-07,ALAMEDA (QRO),1,9826.72
25740,SAM A03-CORE 2/32 NGO,2022-05-07,ALLENDE (QRO),1,2843.97
26561,MOTO G71-5G 6/128 AZUL,2022-05-07,ALAMEDA (QRO),1,6809.48275862
25610,NOKIA C20 2/32 AZUL,2022-05-07,ALAMEDA (QRO),1,2412.93
26277,SAM A53 8/128 DURAZNO,2022-05-07,ALAMEDA (QRO),1,9826.72
25740,SAM A03-CORE 2/32 NGO,2022-05-07,HIDALGO (CELAYA),1,2843.97
25739,SAM A03-CORE 2/32 AZUL,2022-05-07,HIDALGO (CELAYA),1,2843.97
25755,SAM A12 4/64 NEGRO,2022-05-07,CORREGIDORA 2 (QRO),1,4568.1
25550,MOTO G20 4/64 ROSA,2022-05-07,HIDALGO (CELAYA),1,4137.07
24801,HISENSE V40S 4/64 NEGRO,2022-05-07,HIDALGO (CELAYA),1,3275
25612,NOKIA G10 3/64 AZUL,2022-05-07,CORREGIDORA 3 (QRO),1,3275
25739,SAM A03-CORE 2/32 AZUL,2022-05-07,HIDALGO (CELAYA),1,2843.97
26431,SAM A13 4/128 BLANCO,2022-05-07,PLAZA PATIO (QRO),1,4740.52
26015,XIAOMI REDMI-NOTE-10S 6/128 GRIS,2022-05-07,HIDALGO (CELAYA),1,5861.21
26431,SAM A13 4/128 BLANCO,2022-05-07,HIDALGO (CELAYA),1,4740.52
26432,SAM A13 4/128 AZUL,2022-05-07,CORREGIDORA 2 (QRO),1,4740.52
26431,SAM A13 4/128 BLANCO,2022-05-07,CORREGIDORA 2 (QRO),1,4740.52
25550,MOTO G20 4/64 ROSA,2022-05-07,MADERO (LEON),1,4137.07
26431,SAM A13 4/128 BLANCO,2022-05-07,CORREGIDORA 2 (QRO),1,4740.52
25550,MOTO G20 4/64 ROSA,2022-05-07,GUERRERO (QRO),1,4137.07
25550,MOTO G20 4/64 ROSA,2022-05-07,ALLENDE (CELAYA),1,4137.07
25565,MOTO G60S 6/128 AZUL,2022-05-07,FIESTA (IRAPUATO),1,7068.1
25550,MOTO G20 4/64 ROSA,2022-05-07,ALLENDE (CELAYA),1,4137.07
26433,SAM A23 4/128 AZUL,2022-05-07,PLAZA PATIO (QRO),1,5861.21
26431,SAM A13 4/128 BLANCO,2022-05-07,PLAZA PATIO (QRO),1,4740.52
26432,SAM A13 4/128 AZUL,2022-05-07,LA CRUZ (QRO),1,4740.52
24797,HISENSE U3 1/16 AZUL,2022-05-07,GUERRERO (QRO),1,1550.86
25720,REALME C11 2/32 GRIS,2022-05-07,GUERRERO (QRO),1,2843.97
25609,NOKIA C01-PLUS 1/32 MORADO,2022-05-07,CORREGIDORA 4 (QRO),1,1895.69
26581,SAM A32 4/128 NEGRO KIT,2022-05-07,CORREGIDORA 4 (QRO),1,5861.2068
25760,SAM A22 4/64 MENTA,2022-05-07,CORREGIDORA 4 (QRO),1,4826.72
24796,HISENSE E50-LITE 3/32 VERDE,2022-05-07,PARQUE (CELAYA),1,3275
25739,SAM A03-CORE 2/32 AZUL,2022-05-07,FIESTA (IRAPUATO),1,2843.97
26566,SAM A03S 4/64 NEGRO KIT,2022-05-07,FIESTA (IRAPUATO),1,3706.03
25549,MOTO G20 4/64 AZUL,2022-05-07,LA VICTORIA (QRO),1,4137.07
26280,SAM A53 8/128 NEGRO,2022-05-07,PARQUE (QRO),1,9826.72
25611,NOKIA C30 2/64 GRIS,2022-05-07,CORREGIDORA 4 (QRO),1,2843.97
26277,SAM A53 8/128 DURAZNO,2022-05-07,CORREGIDORA 4 (QRO),1,9826.72
25549,MOTO G20 4/64 AZUL,2022-05-07,ALLENDE (QRO),1,4137.07
24812,HUAWEI Y9A 6/128 PLATA KIT,2022-05-07,CORREGIDORA 3 (QRO),1,6895.6896
25755,SAM A12 4/64 NEGRO,2022-05-07,CORREGIDORA 3 (QRO),1,4568.1
25610,NOKIA C20 2/32 AZUL,2022-05-07,CORREGIDORA 3 (QRO),1,2412.93
24795,HISENSE E50 4/128 VERDE,2022-05-07,CORREGIDORA 4 (QRO),1,3619.827
24834,HUAWEI NOVA-Y60 4/64 VERDE,2022-05-07,GUERRERO (QRO),1,4137.07
25563,MOTO G60 6/128 PLATA,2022-05-07,PLAZA PATIO (QRO),1,7154.31
24798,HISENSE U50 2/32 AZUL,2022-05-07,PLAZA PATIO (QRO),1,2671.55
26014,XIAOMI REDMI-NOTE-10S 6/128 AZUL,2022-05-07,ALAMEDA (QRO),1,5861.21
25549,MOTO G20 4/64 AZUL,2022-05-07,MADERO (LEON),1,4137.07
25611,NOKIA C30 2/64 GRIS,2022-05-07,MADERO (LEON),1,2843.97
26566,SAM A03S 4/64 NEGRO KIT,2022-05-07,CORREGIDORA 2 (QRO),1,3706.03
26549,SAM A32 4/128 BLANCO KIT,2022-05-06,ALAMEDA (QRO),1,5861.20689655
24801,HISENSE V40S 4/64 NEGRO,2022-05-07,LEON CENTRO (LEON),1,3447.41
26138,MOTO G31 4/128 GRIS,2022-05-07,PLAZA PATIO (QRO),1,5343.96551724
25765,SAM A32 4/128 NEGRO,2022-05-07,LEON CENTRO (LEON),1,5861.21
25611,NOKIA C30 2/64 GRIS,2022-05-07,LEON CENTRO (LEON),1,2843.97
25549,MOTO G20 4/64 AZUL,2022-05-07,LEON CENTRO (LEON),1,4137.07
25549,MOTO G20 4/64 AZUL,2022-05-07,PLAZA PATIO (QRO),1,4137.07
24834,HUAWEI NOVA-Y60 4/64 VERDE,2022-05-07,ALLENDE (QRO),1,4137.07
26015,XIAOMI REDMI-NOTE-10S 6/128 GRIS,2022-05-07,ALLENDE (QRO),1,5861.21
24902,LANIX X750 1/32 NGO,2022-05-07,ALLENDE (CELAYA),1,2068.1
25550,MOTO G20 4/64 ROSA,2022-05-07,ALLENDE (CELAYA),1,4137.07
25742,SAM A03S 4/64 NEGRO,2022-05-07,HIDALGO (CELAYA),1,3706.034482
24795,HISENSE E50 4/128 VERDE,2022-05-06,ALLENDE (QRO),1,3533.62
25741,SAM A03S 4/64 AZUL,2022-05-06,VIA ALTA SUR (LEON),1,3706.03
25742,SAM A03S 4/64 NEGRO,2022-05-06,VIA ALTA SUR (LEON),1,3706.03
24794,HISENSE E20S 2/32 AZUL,2022-05-06,ALAMEDA (QRO),1,2412.93
26434,SAM A23 4/128 BLANCO,2022-05-06,HIDALGO (CELAYA),1,6033.6206
26565,SAM A03S 4/64 AZUL KIT,2022-05-06,HIDALGO (CELAYA),1,3792.24137931
26432,SAM A13 4/128 AZUL,2022-05-06,HIDALGO (CELAYA),1,4740.52
26432,SAM A13 4/128 AZUL,2022-05-06,ALLENDE (QRO),1,5343.96551724
25740,SAM A03-CORE 2/32 NGO,2022-05-06,HIDALGO (CELAYA),1,2843.97
24802,HISENSE V50 4/64 AZUL,2022-05-06,CORREGIDORA 2 (QRO),1,4050.86
24796,HISENSE E50-LITE 3/32 VERDE,2022-05-06,HIDALGO (CELAYA),1,3275
25610,NOKIA C20 2/32 AZUL,2022-05-06,ANDADOR (CELAYA),1,2499.1379
25741,SAM A03S 4/64 AZUL,2022-05-06,ALLENDE (QRO),1,3706.03
26434,SAM A23 4/128 BLANCO,2022-05-06,LA VICTORIA (QRO),1,5861.21
25741,SAM A03S 4/64 AZUL,2022-05-06,CONSTITUYENTES (QRO),1,3706.03
24834,HUAWEI NOVA-Y60 4/64 VERDE,2022-05-06,HIDALGO 2 (CELAYA),1,4309.4827
25549,MOTO G20 4/64 AZUL,2022-05-06,CORREGIDORA 2 (QRO),1,4137.07
24794,HISENSE E20S 2/32 AZUL,2022-05-06,HIDALGO 2 (CELAYA),1,2412.93
26432,SAM A13 4/128 AZUL,2022-05-06,ALLENDE (QRO),1,4740.52
25611,NOKIA C30 2/64 GRIS,2022-05-06,CORREGIDORA 4 (QRO),1,2843.97
25550,MOTO G20 4/64 ROSA,2022-05-06,GUERRERO (QRO),1,4137.07
26590,HISENSE E50-LITE 3/32 NGO,2022-05-06,ANDADOR (CELAYA),1,3275
25550,MOTO G20 4/64 ROSA,2022-05-06,CORREGIDORA 4 (QRO),1,4137.07
25550,MOTO G20 4/64 ROSA,2022-05-06,CORREGIDORA 4 (QRO),1,4137.07
26138,MOTO G31 4/128 GRIS,2022-05-06,CORREGIDORA 4 (QRO),1,5343.96551724
25549,MOTO G20 4/64 AZUL,2022-05-06,MADERO (LEON),1,4137.07
24797,HISENSE U3 1/16 AZUL,2022-05-06,MADERO (LEON),1,1550.86
25549,MOTO G20 4/64 AZUL,2022-05-06,HIDALGO 2 (CELAYA),1,4223.2758
26565,SAM A03S 4/64 AZUL KIT,2022-05-06,ALLENDE (CELAYA),1,3706.03
25610,NOKIA C20 2/32 AZUL,2022-05-06,CORREGIDORA 4 (QRO),1,2412.93
25772,SAM A72 6/128 AZUL,2022-05-06,PARQUE (CELAYA),1,9740.52
25761,SAM A22 4/64 NEGRO,2022-05-06,CORREGIDORA 2 (QRO),1,5085.3448
