id,Product_ID,Description,qty,create_uid,price_unit,price_subtotal
48807,26002,XIAOMI REDMI-9A 2/32 VERDE,1.0,SUC. CORREGIDORA 3 (QRO),2326.72413793,2326.7200000000003
48808,29489,KODAK SEREN-D60LX 2/32 NEGRO KIT,1.0,SUC. PLAZA PATIO (QRO),1378.44827586,1378.45
48816,29411,20.0% de descuento en productos,1.0,SUC. PLAZA PATIO (QRO),-34.31,-34.31
48821,26045,ZTE A51 2/64 GRIS,1.0,SUC. CORREGIDORA 4 (QRO),2499.13793103,2499.14
48823,26735,Descuento,1197.0,SUC. ANTEA (QRO),-0.01,-11.97
48843,25682,"GAR094 POWER BANK 10,000 mAh 1HORA GAR094 AZUL",1.0,SUC. CORREGIDORA 3 (QRO),257.75862069,257.76
48846,19110,ADAPTADOR LIGHTNING A 3.5,1.0,SUC. ANTEA (QRO),111.20689655,111.21
48850,29411,20.0% de descuento en productos,1.0,SUC. URBAN (QRO),-51.552,-51.55
48851,19483,BLU Z5 X/X VERDE-LIMÓN,1.0,SUC. ANDADOR (CELAYA),257.75862069,257.76
48858,24765,GAME PAD WIRELESS CONTROLLER,1.0,SUC. HIDALGO (CELAYA),257.75862069,257.76
48866,19513,KB-RAD-68 BOCINA KBOD BARRA KB-RAD-68 COLORES VAR,1.0,SUC. ALAMEDA (QRO),257.75862069,257.76
48869,19527,BOCINA MOREKA T23,1.0,SUC. ALLENDE (CELAYA),171.55172414,171.55
48871,29489,KODAK SEREN-D60LX 2/32 NEGRO KIT,1.0,SUC. CORREGIDORA 4 (QRO),1378.44827586,1378.45
48876,26671,HONOR X8 6/128 PLATA,1.0,SUC. VIA ALTA SUR (LEON),4568.10344828,4568.1
48880,19527,BOCINA MOREKA T23,1.0,SUC. HIDALGO (CELAYA),171.55172414,171.55
48882,19110,ADAPTADOR LIGHTNING A 3.5,1.0,SUC. CORREGIDORA 4 (QRO),111.20689655,111.21
48884,25532,MOBO RING HOLDER PARA TELEFONO ROSA,1.0,SUC. CORREGIDORA 2 (QRO),59.48,59.48
48889,29411,20.0% de descuento en productos,1.0,SUC. URBAN (QRO),-29.138,-29.14
48899,26735,Descuento,897.0,SUC. ANTEA (QRO),-0.01,-8.97
48908,29411,20.0% de descuento en productos,1.0,SUC. ANTEA (QRO),-86.034,-86.03
48924,25539,MOTO E6I 2/32 GRIS,1.0,SUC. PLAZA PATIO (QRO),2412.931,2412.93
48935,26671,HONOR X8 6/128 PLATA,1.0,SUC. MADERO (LEON),4568.10344828,4568.1
48955,25608,NOKIA C01-PLUS 1/32 AZUL,1.0,SUC. CORREGIDORA 2 (QRO),1637.06896552,1637.07
48961,29411,20.0% de descuento en productos,1.0,SUC. GUERRERO (QRO),-29.138,-29.14
48967,25739,SAM A03-CORE 2/32 AZUL,1.0,SUC. ALLENDE (QRO),2154.31034483,2154.31
48982,26002,XIAOMI REDMI-9A 2/32 VERDE,1.0,SUC. CORREGIDORA 3 (QRO),2326.72413793,2326.7200000000003
48998,19084,ADAPTADOR DE CARRO AZUL,1.0,SUC. ALLENDE (QRO),33.62068966,33.62
49000,24883,KODAK 3-G-KD50 1/32 NEGRO/AMARILLO KIT,1.0,SUC. PLAZA MAYOR (LEON),1162.93103448,1162.93
49003,29411,20.0% de descuento en productos,1.0,SUC. ALAMEDA (QRO),-34.31,-34.31
49006,27184,XIAOMI REDMI-10C 4/128 GRIS,1.0,SUC. MADERO (QRO),3447.4137931,3447.41
49016,19475,BLU Z4 X/X NEGRO/AZUL,1.0,SUC. PLAZA MAYOR (LEON),257.75862069,257.76
49019,29411,20.0% de descuento en productos,1.0,SUC. GUERRERO (QRO),-6.724,-6.72
49021,29411,20.0% de descuento en productos,1.0,SUC. GUERRERO (QRO),-29.138,-29.14
49024,24900,LANIX X560 1/32 AZUL,1.0,SUC. GUERRERO (QRO),1464.65517241,1464.66
49025,26037,ZTE L9 1/32 AZUL KIT,1.0,SUC. CORREGIDORA 3 (QRO),1206.02586207,1206.03
49027,19527,BOCINA MOREKA T23,1.0,SUC. HIDALGO 2 (CELAYA),171.55172414,171.55
49033,25648,GAR108 PLUGIN AUTO 1HORA 2PUERTOS GAR108 NEGRO,1.0,SUC. PARQUE (QRO),59.48275862,59.48
49036,29493,XIAOMI REDMI-10C 3/64 GRIS,1.0,SUC. CORREGIDORA 2 (QRO),3016.37931034,3016.38
49041,26078,XIAOMI REDMI-NOTE-11S 6/128 NGO,1.0,SUC. BOULEVARES (QRO),5171.55172414,5171.55
49045,26431,SAM A13 4/128 BLANCO,1.0,SUC. LA VICTORIA (QRO),4137.07,4137.07
49047,25531,MOBO RING HOLDER PARA TELEFONO NEGRO,1.0,SUC. ANTEA (QRO),85.34482759,85.34
49051,29410,99.99% de descuento en productos,1.0,SUC. LA VICTORIA (QRO),-51.552,-51.55
49052,24902,LANIX X750 1/32 NGO,1.0,SUC. GUERRERO (QRO),1723.27586207,1723.28
49059,29411,20.0% de descuento en productos,1.0,SUC. GUERRERO (QRO),-29.138,-29.14
49064,19527,BOCINA MOREKA T23,1.0,SUC. GUERRERO (QRO),171.55172414,171.55
49073,29411,20.0% de descuento en productos,1.0,SUC. ALAMEDA (QRO),-46.38,-46.38
49075,26013,XIAOMI REDMI-NOTE-10-PRO 6/128 GRIS,1.0,SUC. CORREGIDORA 2 (QRO),7240.51724138,7240.52
49093,29493,XIAOMI REDMI-10C 3/64 GRIS,1.0,SUC. ALLENDE (QRO),3016.37931034,3016.38
49102,29411,20.0% de descuento en productos,1.0,SUC. URBAN (QRO),-137.414,-137.41
49105,29411,20.0% de descuento en productos,1.0,SUC. GUERRERO (QRO),-25.69,-25.69
49113,29411,20.0% de descuento en productos,1.0,SUC. GUERRERO (QRO),-25.69,-25.69
49117,26541,XIAOMI REDMI-NOTE-11S 6/128 AZUL,1.0,SUC. CORREGIDORA 4 (QRO),5171.55,5171.55
49123,19516,BOCINA KBOD OVALO KD-RAD-62 COLORES VAR,1.0,SUC. MADERO (QRO),257.75862069,257.76
49132,29411,20.0% de descuento en productos,1.0,SUC. LEON CENTRO (LEON),-29.138,-29.14
49133,27157,XIAOMI REDMI-10A 3/64 GRIS,1.0,SUC. PARQUE (CELAYA),2843.96551724,2843.9700000000003
49138,29411,20.0% de descuento en productos,1.0,SUC. LEON CENTRO (LEON),-5.0,-5.0
49161,25611,NOKIA C30 2/64 GRIS,1.0,SUC. CORREGIDORA 3 (QRO),2585.34482759,2585.34
49167,26434,SAM A23 4/128 BLANCO,1.0,SUC. ALLENDE (QRO),4999.13793103,4999.14
49183,25740,SAM A03-CORE 2/32 NGO,1.0,SUC. ALLENDE (QRO),2154.31034483,2154.31
49188,19453,BLU J4 1/32 AZUL,1.0,SUC. GUERRERO (QRO),1292.24137931,1292.24
49191,29493,XIAOMI REDMI-10C 3/64 GRIS,1.0,SUC. GUERRERO (QRO),3016.37931034,3016.38
49215,29339,SAM A13 4/64 AZUL,1.0,SUC. CORREGIDORA 2 (QRO),3964.655172,3964.66
49226,25597,MOUSE GAMER PHANTOM NA-0954,1.0,SUC. ANDADOR (CELAYA),387.06896552,387.07
49229,27184,XIAOMI REDMI-10C 4/128 GRIS,1.0,SUC. ANDADOR (CELAYA),3447.4137931,3447.41
49240,25719,REALME C11 2/32 AZUL,1.0,SUC. ALLENDE (QRO),2326.72413793,2326.7200000000003
49241,25548,MOTO G20 4/128 AZUL,1.0,SUC. CORREGIDORA 4 (QRO),4223.27586207,4223.28
